deal_id,company_name,region,industry,lead_source,sales_rep,stage,amount_usd,created_date,close_date,is_won,sales_cycle_days
D00001,Unity Technologies,South,Healthcare,Cold Call,Priya Nair,Closed Won,13600.0,2024-04-12,2024-06-05,True,54.0
D00002,Vertex Enterprises,Central,Retail,Trade Show,Vikram Shah,Closed Won,9700.0,2026-05-21,2026-06-19,True,29.0
D00003,Pioneer Systems,East,Healthcare,Referral,Karan Malhotra,Prospecting,28600.0,2026-01-17,,False,
D00004,Summit Systems,West,Retail,Cold Call,Sneha Iyer,Proposal,7300.0,2025-07-16,,False,
D00005,Nexus Solutions,South,It Services,Website,Rohit Verma,Proposal,14200.0,2024-01-21,,False,
D00006,Orbit Group,West,It Services,Partner,Karan Malhotra,Negotiation,14800.0,2026-06-16,,False,
D00007,Falcon Corp,South,It Services,Referral,Arjun Mehta,Proposal,7000.0,2024-07-24,,False,
D00008,Pioneer Systems,South,Education,Trade Show,Arjun Mehta,Closed Won,5700.0,2025-12-03,2026-01-17,True,45.0
D00009,Meridian Industries,South,Retail,Trade Show,Rohit Verma,Closed Won,5300.0,2025-12-20,2026-01-22,True,33.0
D00010,Horizon Group,West,Healthcare,Cold Call,Ananya Rao,Closed Lost,21400.0,2026-05-06,2026-06-03,False,28.0
D00011,Lumina Solutions,North,It Services,Website,Karan Malhotra,Proposal,22800.0,2025-05-04,,False,
D00012,Vertex Group,Central,Healthcare,Trade Show,Karan Malhotra,Prospecting,3300.0,2024-02-02,,False,
D00013,Meridian Group,East,Retail,Referral,Vikram Shah,Closed Won,8300.0,2025-04-06,2025-06-17,True,72.0
D00014,Global Enterprises,West,Education,Partner,Kavya Reddy,Negotiation,5300.0,2025-07-17,,False,
D00015,Falcon Technologies,Central,Education,Website,Sneha Iyer,Closed Won,4800.0,2025-10-16,2025-11-08,True,23.0
D00016,Zenith Technologies,West,Education,Social Media,Priya Nair,Qualification,7700.0,2024-01-28,,False,
D00017,Crest Systems,North,It Services,Partner,Ananya Rao,Qualification,13500.0,2025-01-19,,False,
D00018,Summit Solutions,North,Education,Partner,Ananya Rao,Proposal,7100.0,2025-12-10,,False,
D00019,Quantum Solutions,North,It Services,Website,Arjun Mehta,Qualification,14000.0,2025-01-08,,False,
D00020,Quantum Industries,South,Healthcare,Website,Sneha Iyer,Qualification,14800.0,2025-07-17,,False,
D00021,Falcon Systems,South,Finance,Trade Show,Vikram Shah,Closed Lost,43700.0,2026-01-05,2026-02-11,False,37.0
D00022,Vertex Group,Central,It Services,Referral,Arjun Mehta,Qualification,19500.0,2024-05-02,,False,
D00023,Falcon Enterprises,North,Retail,Trade Show,Priya Nair,Prospecting,6700.0,2025-05-25,,False,
D00024,Horizon Systems,West,It Services,Website,Ananya Rao,Closed Won,10300.0,2025-02-06,2025-04-11,True,64.0
D00025,Pioneer Industries,South,Healthcare,Trade Show,Karan Malhotra,Proposal,15700.0,2024-05-30,,False,
D00026,Everest Group,North,Education,Trade Show,Sneha Iyer,Qualification,4600.0,2025-07-25,,False,
D00027,Horizon Technologies,North,It Services,Cold Call,Ananya Rao,Closed Won,16400.0,2025-10-20,2025-11-11,True,22.0
D00028,Radiant Corp,North,Healthcare,Website,Sneha Iyer,Proposal,24100.0,2024-08-14,,False,
D00029,Alpha Technologies,East,Finance,Website,Rohit Verma,Proposal,21000.0,2024-12-03,,False,
D00030,Lumina Group,East,Retail,Website,Karan Malhotra,Negotiation,4400.0,2025-05-18,,False,
D00031,Bright Enterprises,Central,Healthcare,Social Media,Karan Malhotra,Negotiation,37700.0,2026-06-01,,False,
D00032,Quantum Industries,Central,Healthcare,Trade Show,Priya Nair,Qualification,18700.0,2025-04-25,,False,
D00033,Unity Systems,East,It Services,Website,Rohit Verma,Closed Lost,19400.0,2024-06-20,2024-07-27,False,37.0
D00034,Vertex Solutions,South,Retail,Referral,Kavya Reddy,Qualification,10000.0,2024-06-09,,False,
D00035,Quantum Industries,East,Manufacturing,Referral,Vikram Shah,Prospecting,14200.0,2025-10-24,,False,
D00036,Meridian Technologies,East,Manufacturing,Website,Karan Malhotra,Closed Won,15600.0,2025-01-27,2025-02-10,True,14.0
D00037,Horizon Corp,West,Finance,Trade Show,Ananya Rao,Prospecting,32800.0,2025-05-20,,False,
D00038,Vertex Solutions,South,Manufacturing,Social Media,Priya Nair,Prospecting,26800.0,2025-04-15,,False,
D00039,Vertex Group,West,Manufacturing,Social Media,Kavya Reddy,Prospecting,25600.0,2025-07-23,,False,
D00040,Meridian Technologies,West,Finance,Trade Show,Arjun Mehta,Qualification,17100.0,2024-02-22,,False,
D00041,Jupiter Corp,West,Finance,Referral,Rohit Verma,Proposal,28700.0,2024-12-15,,False,
D00042,Zenith Systems,South,Finance,Referral,Sneha Iyer,Proposal,24200.0,2026-02-25,,False,
D00043,Orbit Solutions,North,Manufacturing,Referral,Ananya Rao,Negotiation,21800.0,2025-01-27,,False,
D00044,Everest Corp,Central,Retail,Partner,Kavya Reddy,Negotiation,7300.0,2025-08-23,,False,
D00045,Vertex Industries,West,Manufacturing,Cold Call,Sneha Iyer,Proposal,18200.0,2026-05-10,,False,
D00046,Pioneer Enterprises,West,Finance,Trade Show,Karan Malhotra,Prospecting,26800.0,2024-02-16,,False,
D00047,Everest Technologies,Central,Manufacturing,Referral,Arjun Mehta,Qualification,23700.0,2025-07-04,,False,
D00048,Pioneer Systems,Central,Finance,Trade Show,Karan Malhotra,Closed Lost,44100.0,2026-01-31,2026-03-01,False,29.0
D00049,Summit Group,West,Retail,Website,Sneha Iyer,Proposal,9700.0,2026-06-26,,False,
D00050,Lumina Enterprises,North,Retail,Referral,Priya Nair,Negotiation,6400.0,2025-09-04,,False,
D00051,Summit Industries,South,Manufacturing,Social Media,Vikram Shah,Proposal,27100.0,2026-02-14,,False,
D00052,Delta Industries,Central,Manufacturing,Partner,Priya Nair,Prospecting,18700.0,2026-06-21,,False,
D00053,Delta Solutions,East,Retail,Cold Call,Karan Malhotra,Proposal,10800.0,2025-01-28,,False,
D00054,Meridian Systems,Central,It Services,Website,Kavya Reddy,Qualification,12600.0,2024-04-05,,False,
D00055,Summit Industries,West,Retail,Social Media,Sneha Iyer,Proposal,8800.0,2024-09-29,,False,
D00056,Global Technologies,North,Healthcare,Trade Show,Ananya Rao,Prospecting,31800.0,2025-09-03,,False,
D00057,Unity Technologies,West,Retail,Trade Show,Priya Nair,Prospecting,11400.0,2026-06-03,,False,
D00058,Kinetic Solutions,Central,Healthcare,Partner,Priya Nair,Closed Won,17900.0,2025-07-18,2025-08-12,True,25.0
D00059,Falcon Systems,South,Manufacturing,Trade Show,Ananya Rao,Prospecting,10600.0,2026-01-20,,False,
D00060,Summit Enterprises,Central,Finance,Partner,Arjun Mehta,Closed Won,43900.0,2025-01-27,2025-02-27,True,31.0
D00061,Summit Enterprises,West,Education,Trade Show,Kavya Reddy,Closed Lost,9500.0,2025-05-25,2025-06-23,False,29.0
D00062,Titan Technologies,East,Finance,Partner,Vikram Shah,Closed Lost,37800.0,2025-12-14,2026-01-05,False,22.0
D00063,Quantum Industries,West,Education,Website,Kavya Reddy,Negotiation,7300.0,2024-01-01,,False,
D00064,Meridian Enterprises,Central,Education,Referral,Rohit Verma,Proposal,6500.0,2026-04-03,,False,
D00065,Orbit Industries,East,It Services,Website,Vikram Shah,Qualification,15100.0,2024-08-16,,False,
D00066,Crest Systems,North,Finance,Social Media,Arjun Mehta,Negotiation,56300.0,2024-10-31,,False,
D00067,Radiant Technologies,West,Manufacturing,Referral,Rohit Verma,Qualification,16900.0,2024-01-08,,False,
D00068,Quantum Industries,West,Healthcare,Social Media,Kavya Reddy,Proposal,24800.0,2026-01-01,,False,
D00069,Falcon Solutions,Central,Education,Cold Call,Sneha Iyer,Qualification,4600.0,2026-01-01,,False,
D00070,Zenith Industries,South,Healthcare,Partner,Sneha Iyer,Closed Won,31200.0,2026-06-01,2026-06-16,True,15.0
D00071,Crest Systems,Central,Retail,Referral,Ananya Rao,Closed Won,7700.0,2025-01-08,2025-04-01,True,83.0
D00072,Unity Systems,Central,Finance,Social Media,Priya Nair,Negotiation,29300.0,2025-06-01,,False,
D00073,Delta Corp,North,Healthcare,Partner,Sneha Iyer,Closed Lost,22500.0,2025-07-18,2025-08-16,False,29.0
D00074,Bright Corp,South,It Services,Referral,Vikram Shah,Negotiation,15700.0,2025-03-24,,False,
D00075,Orbit Systems,East,Retail,Website,Karan Malhotra,Closed Won,10100.0,2024-09-24,2024-12-24,True,91.0
D00076,Bright Solutions,West,Manufacturing,Social Media,Vikram Shah,Closed Won,13200.0,2025-07-31,2025-10-22,True,83.0
D00077,Jupiter Group,North,It Services,Social Media,Kavya Reddy,Closed Won,20800.0,2025-03-22,2025-03-29,True,7.0
D00078,Falcon Enterprises,West,It Services,Partner,Vikram Shah,Closed Lost,8100.0,2024-05-17,2024-07-13,False,57.0
D00079,Pioneer Technologies,East,Retail,Cold Call,Arjun Mehta,Qualification,6100.0,2024-02-12,,False,
D00080,Radiant Enterprises,North,Healthcare,Cold Call,Priya Nair,Negotiation,14200.0,2024-12-25,,False,
D00081,Nexus Solutions,North,Finance,Website,Rohit Verma,Prospecting,20500.0,2026-04-08,,False,
D00082,Orbit Industries,East,Retail,Referral,Ananya Rao,Qualification,8400.0,2024-03-18,,False,
D00083,Quantum Group,South,It Services,Website,Karan Malhotra,Closed Lost,11800.0,2024-04-16,2024-08-04,False,110.0
D00084,Nexus Group,West,Education,Referral,Sneha Iyer,Closed Lost,8000.0,2025-09-30,2025-10-27,False,27.0
D00085,Falcon Group,West,Finance,Referral,Vikram Shah,Closed Won,19500.0,2025-09-14,2025-10-04,True,20.0
D00086,Vertex Solutions,South,Retail,Website,Kavya Reddy,Proposal,7300.0,2025-09-22,,False,
D00087,Delta Solutions,North,Finance,Trade Show,Ananya Rao,Prospecting,29900.0,2024-05-05,,False,
D00088,Jupiter Industries,South,Retail,Trade Show,Priya Nair,Negotiation,12700.0,2024-04-20,,False,
D00089,Meridian Corp,South,Manufacturing,Cold Call,Karan Malhotra,Proposal,11000.0,2025-09-04,,False,
